iata,icao,name,city,country,lat,lon
OCA,07FA,Ocean Reef Club Airport,Key Largo,US,25.325399,-80.274803
WKK,5A8,Aleknagik / New Airport,Aleknagik,US,59.282600,-158.617996
,AE-0221,Sas Al Nakheel Air Base,Sas Al Nakheel,AE,24.441280,54.516960
BBQ,AG-0001,Burton-Nibbs International Airport,Codrington,AG,17.621194,-61.798347
HIR,AGGH,Honiara International Airport,Honiara,SB,-9.428000,160.054993
MUA,AGGM,Munda Airport,Munda,SB,-8.327970,157.263000
INU,ANYN,Nauru International Airport,Yaren,NR,-0.547893,166.919525
,AQ-0016,Grandfather Skiway,Antartica,AQ,-77.530242,-31.827393
,AQBC,Boulder Clay Runway,Zucchelli Station,AQ,-74.739373,164.035390
,AR-0744,Chamical Airport,Gobernador Gordillo,AR,-30.345303,-66.294072
,AR-0767,Aeroestación Yabotí,El Soberbio,AR,-27.180308,-54.107368
,AR-0768,[Duplicate] Aeropuerto Pergamino,,AR,-33.896030,-60.574800
,AT03,Concordia Skyway,Concordia Station,AQ,-75.103278,123.358250
,AT28,Vostok Skiway,Vostok Station,AQ,-78.466139,106.848250
WFR,AT98,[Duplicate] Wolf's Fang Runway,Queen Maud Island,AQ,-71.526400,8.799459
,AU-0796,Nackeroo Airfield,,AU,-15.578026,130.475993
,AU-0799,[Duplicate] Western Sydney International Airport,Sydney,AU,-33.888056,150.714722
AXF,AXF,Alxa Left Banner Bayanhot Airport,Bayanhot,CN,38.748317,105.584160
VMU,AYBA,Baimuru Airport,Baimuru,PG,-7.496955,144.821756
BUA,AYBK,Buka Airport,Buka Island,PG,-5.422299,154.672698
OPU,AYBM,Balimo Airport,Balimo,PG,-8.050000,142.932999
CMU,AYCH,Chimbu Airport,Kundiawa,PG,-6.024290,144.970993
DAU,AYDU,Daru Airport,Daru,PG,-9.086760,143.207993
GKA,AYGA,Goroka Airport,Goronka,PG,-6.081690,145.391998
GUR,AYGN,Gurney Airport,Gurney,PG,-10.311500,150.334000
PNP,AYGR,Girua Airport,Popondetta,PG,-8.804540,148.309006
HKN,AYHK,Hoskins Airport,Kimbe,PG,-5.463846,150.407327
KMA,AYKM,Kerema Airport,Kerema,PG,-7.963610,145.770996
KVG,AYKV,Kavieng Airport,Kavieng,PG,-2.579400,150.807999
MAG,AYMD,Madang Airport,Madang,PG,-5.207080,145.789001
HGU,AYMH,Mount Hagen Kagamuga Airport,Mount Hagen,PG,-5.828212,144.299412
MDU,AYMN,Mendi Airport,Mendi,PG,-6.147740,143.656998
MAS,AYMO,Momote Airport,Manus Island,PG,-2.061890,147.423996
LAE,AYNZ,Nadzab Tomodachi International Airport,Lae,PG,-6.567995,146.726544
POM,AYPY,Port Moresby Jacksons International Airport,Port Moresby,PG,-9.443380,147.220001
RAB,AYTK,Tokua Airport,Kokopo,PG,-4.340460,152.380005
VAI,AYVN,Vanimo Airport,Vanimo,PG,-2.692600,141.302800
WBM,AYWD,Wapenamanda Airport,Wapenamanda,PG,-5.635293,143.892231
WWK,AYWK,Wewak International Airport,Wewak,PG,-3.583830,143.669006
ZXT,AZ-0001,Zabrat Airport,Zabrat,AZ,40.494884,49.977065
,AZ-0013,Sitalchay Airbase,Sitalchay,AZ,40.807313,49.431481
,AZ-0021,Qizilagach Air Base,Qizilagach,AZ,39.006162,48.806312
BCW,BCW,Benguera Island Airport,Benguera Island,MZ,-21.853300,35.438301
,BD-0044,topbetkim,BNK,BD,70.000000,80.000000
JAM,BG-JAM,Bezmer Air Base,Bezmer,BG,42.454899,26.352200
JEG,BGAA,Aasiaat Airport,Aasiaat,GL,68.721802,-52.784698
CNP,BGCO,Neerlerit Inaat Airport,Neerlerit Inaat,GL,70.743103,-22.650499
GOH,BGGH,Nuuk International Airport,Nuuk,GL,64.191066,-51.679140
JAV,BGJN,Ilulissat Airport,Ilulissat,GL,69.243202,-51.057098
KUS,BGKK,Kulusuk Airport,Kulusuk,GL,65.573601,-37.123600
NAQ,BGQQ,Qaanaaq Airport,Qaanaaq,GL,77.488602,-69.388702
SFJ,BGSF,Kangerlussuaq International Airport,Kangerlussuaq,GL,67.010446,-50.715294
JHS,BGSS,Sisimiut Airport,Sisimiut,GL,66.951302,-53.729301
THU,BGTL,Pituffik Space Base,Pituffik,GL,76.530630,-68.700541
AEY,BIAR,Akureyri International Airport,Akureyri,IS,65.656573,-18.072018
BIU,BIBD,Bildudalur Airport,Bildudalur,IS,65.641296,-23.546200
EGS,BIEG,Egilsstaðir Airport,Egilsstaðir,IS,65.283302,-14.401400
GRY,BIGR,Grímsey Airport,Grímsey/Sandvík,IS,66.545800,-18.017300
HFN,BIHN,Hornafjörður Airport,Höfn,IS,64.295601,-15.227200
HZK,BIHU,Húsavík Airport,Húsavík,IS,65.952301,-17.426001
IFJ,BIIS,Ísafjörður Airport,Ísafjörður,IS,66.058098,-23.135300
KEF,BIKF,Keflavik International Airport,Reykjavík,IS,63.985001,-22.605600
RKV,BIRK,Reykjavík Domestic Airport,Reykjavík,IS,64.128732,-21.937590
MVA,BIRL,Mývatn Airport,Myvatn,IS,65.655800,-16.918100
SIJ,BISI,Siglufjörður Airport,Siglufjörður,IS,66.137847,-18.908157
VEY,BIVM,Vestmannaeyjar Airport,Vestmannaeyjar,IS,63.424301,-20.278900
VPN,BIVO,Vopnafjörður Airport,Vopnafjörður,IS,65.720596,-14.850600
,BJ-0001,Tourou International Airport,Parakou,BJ,9.391186,2.507311
PRN,BKPR,Priština Adem Jashari International Airport,Prishtina,XK,42.572800,21.035801
VDC,BR-0569,Glauber de Andrade Rocha Airport,Vitória da Conquista,BR,-14.907885,-40.914804
,BR-2182,Russas - João de Deus Regional Airport,Russas,BR,-4.947270,-38.008202
BTZ,BTZ,Betong International Airport,Betong,TH,5.790000,101.150000
TXC,BY-0001,Orsha Airport - Balbasovo Air Base,Orsha,BY,54.439999,30.296700
,BY-0006,Osovtsy Air Base,Byaroza,BY,52.556999,24.884001
CUK,BZ-CUK,Caye Caulker Airport,Caye Caulker,BZ,17.735015,-88.032862
